transaction_id,customer_id,transaction_date,amount,transaction_type,branch_id
1,39.0,2026-05-14,2882.95,IMPS,1004
2,185.0,2026-04-23,130879.76,Deposit,1004
3,111.0,2026-04-10,145.14,UPI,1016
4,344.0,2026-02-20,6360.78,NEFT,1009
5,317.0,2026-04-28,118452.16,Deposit,1018
6,332.0,2026-06-08,52375.08,IMPS,1009
7,143.0,2026-02-06,661.66,Deposit,1017
8,354.0,2026-01-27,961.74,IMPS,1020
9,299.0,2026-04-27,144679.93,UPI,1004
10,5.0,2026-05-20,490.09,Deposit,1006
11,299.0,2026-02-02,89613.78,IMPS,1014
12,84.0,2026-04-26,454.51,Transfer,1007
13,248.0,2026-03-10,4793.8,Transfer,1001
14,102.0,2026-06-26,2484.23,Withdrawal,1016
15,474.0,2026-02-16,7825.27,IMPS,1008
16,425.0,2026-01-11,745.02,Transfer,1012
17,361.0,2026-05-20,61427.3,NEFT,1019
18,31.0,2026-05-12,474.66,IMPS,1019
19,157.0,2026-04-06,1142.31,Transfer,1020
20,148.0,2026-02-14,97.51,Deposit,1009
21,91.0,2026-02-20,890.65,IMPS,1007
22,442.0,2026-06-08,974.09,UPI,1008
23,77.0,2026-05-23,98492.78,Transfer,1016
24,224.0,2026-06-05,2696.64,NEFT,1012
25,113.0,2026-05-02,257.17,Withdrawal,1005
26,486.0,2026-01-28,131640.13,Transfer,1010
27,215.0,2026-05-23,196.12,Transfer,1010
28,316.0,2026-01-25,9868.7,IMPS,1020
29,202.0,2026-06-15,758.58,UPI,1005
30,44.0,2026-01-30,727.04,UPI,1009
31,273.0,2026-03-26,28812.76,NEFT,1016
32,383.0,2026-03-16,35368.53,UPI,1006
33,418.0,2026-03-01,171.37,UPI,1001
34,273.0,2026-03-08,133944.69,UPI,1013
35,383.0,2026-06-25,9225.05,Deposit,1009
36,283.0,2026-03-16,7551.21,Transfer,1001
37,135.0,2026-01-05,3076.37,Deposit,1009
38,215.0,2026-03-02,392.72,Transfer,1019
39,308.0,2026-01-27,2017.89,IMPS,1019
40,158.0,2026-03-24,4421.96,Transfer,1008
41,21.0,2026-01-21,9881.12,Withdrawal,1001
42,119.0,2026-05-11,659.64,UPI,1009
43,355.0,2026-04-17,969.18,Deposit,1001
44,270.0,2026-01-09,213.22,NEFT,1005
45,203.0,2026-03-16,39266.77,UPI,1001
46,166.0,2026-04-05,32493.35,NEFT,1008
47,251.0,2026-01-23,4719.58,Withdrawal,1013
48,234.0,2026-06-19,62063.84,IMPS,1017
49,309.0,2026-03-04,919.49,NEFT,1002
50,364.0,2026-04-16,73178.55,IMPS,1011
51,416.0,2026-05-05,17732.56,IMPS,1016
52,455.0,2026-03-27,1207.61,Withdrawal,1020
53,68.0,2026-06-06,919.64,Deposit,1005
54,53.0,2026-01-21,6416.41,Withdrawal,1008
55,361.0,2026-05-21,17570.68,UPI,1011
56,51.0,2026-02-26,2064.04,IMPS,1016
57,52.0,2026-03-12,139115.25,IMPS,1016
58,351.0,2026-05-30,3639.16,IMPS,1014
59,496.0,2026-06-13,4078.14,Withdrawal,1006
60,238.0,2026-03-17,1491.63,Deposit,1017
